id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
0000077914231,RAYITO DE SOL,Emulsion Autobronceante Rayito de Sol 130 Gr,130.0 gr,,,,sin clasificar
0000077915481,PEPITOS,Alfajor con Chips Triple Pepitos 57 Gr,57.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077915818,CEREAL MIX,Barra de Cereales con Manzana Cereal Mix 23 Gr,23.0 gr,Frescos,Frutas,,inferida
0000077916105,MILKA,Chocolate Milka Leger Leche 45 Gr,45.0 gr,Frescos,Lácteos,,inferida
0000077916112,MILKA,Chocolate Milka Leger Almendras 45 Gr,45.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077916389,TOP LINE,Chicles Fruta Top Line 6.7 Gr,6.7 gr,,,,sin clasificar
0000077916396,TOP LINE,Chicles Strong 6.7 Gr,6.7 gr,,,,sin clasificar
0000077916419,TOP LINE,Chicles Defense 6.7 Gr,6.7 gr,,,,sin clasificar
0000077916426,TOP LINE,Chicles Sabor Menta en Tableta 6.7 Gr,6.7 gr,,,,sin clasificar
0000077916495,OREO,Alfajor Triple Oreo 55 Gr,55.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077916501,CEREAL MIX,Barra de Cereales Cereal Mix 23 Gr,23.0 gr,Almacén,Desayuno y Merienda,,inferida
0000077916525,CEREAL MIX,Barra de Cereales con Chocolate Cereal Mix 23 Gr,23.0 gr,Almacén,Desayuno y Merienda,,inferida
0000077916969,CACHAFAZ,Alfajores de Arroz Dulce de Leche Cachafaz 28 Gr,28.0 gr,Frescos,Lácteos,,inferida
0000077917317,HALLS,Caramelos Sabor Frutilla Halls 27 Gr,27.0 gr,Frescos,Frutas,,inferida
0000077917324,HALLS,Caramelos Naranja Halls Vita C 27 Gr,27.0 gr,Frescos,Frutas,,inferida
0000077917393,SAPITO,Chocolate Frutilla Sapito 10 Gr,10.0 gr,Frescos,Frutas,,inferida
0000077917706,COFLER,Chocolate con Mani Block Cofler 38 Gr,38.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077917911,GEORGALOS,Chocolate sin Azucar Georgalos 30 Gr,30.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077918543,HALLS,Caramelos Sabor Menta Halls Free 20 Gr,20.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077918765,DOVE,Antitranspirante Go Fresh Dove 89 Gr,89.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077919489,TOP LINE,Chicles Sandia y Menta 6.7 Gr,6.7 gr,,,,sin clasificar
0000077919496,LENGUETAZO,Caramelos Sabor Tutti Frutti Lenguetazo Fiesta 13 Gr,13.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077919540,LA LÁCTEO,Yogur Entero Frutilla Pote La Lacteo 160 Gr,160.0 gr,Frescos,Lácteos,,inferida
0000077919564,LA LÁCTEO,Yogur Entero Durazno Pote La Lacteo 160 Gr,160.0 gr,Frescos,Lácteos,,inferida
0000077920447,NOGALY,Jabon Hipoalergenico Nogaly 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077920454,NOGALY,Jabon Bebe Glicerina Neutro Nogaly 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077920461,NOGALY,Jabon Coco Nogaly 130 Gr,130.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077920515,MENTHO PLUS,Pastillas Sabor Mentol y Eucaliptus Mentho Plus Arcor 30 Gr,30.0 gr,,,,sin clasificar
