id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
7792170000661,QUAKER,Avena Tradicional Fortificada Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000678,QUAKER,Avena Tradicional Fortificada Quaker 500 Gr,500.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000708,QUAKER,Avena Instantanea Fortificada Quaker 700 Gr,700.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000715,QUAKER,Avena Tradicional Fortificada Quaker 800 Gr,800.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000722,QUAKER,Cereales Chocolate Cocoa Blast Toddy 200 Gr,200.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000777,QUAKER,Galletitas Avena con Manzana Quaker 260 Gr,260.0 gr,Frescos,Frutas,,inferida
7792170000784,QUAKER,Galletitas Avena y Granola Quaker 249 Gr,249.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000791,QUAKER,Galletitas Avena con Pasas Quaker 256 Gr,256.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000814,QUAKER,Galletitas Miel Quaker 238 Gr,238.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000821,QUAKER,Galletitas 7 Granos Quaker 242 Gr,242.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170000975,QUAKER,Cuadritos de Avena Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000982,QUAKER,Cuadritos de Avena Quaker 180 Gr,180.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001040,QUAKER,Barra de Cereales con Mousse de Chocolate Quaker 6 Un 156 Gr,156.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001071,QUAKER,Barra de Cereales con Chocolate Quaker 6 Un 120 Gr,120.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001095,QUAKER,Barra de Cereales con Yogur Frutilla y Crema Qualer 6 Un 120 Gr,120.0 gr,Frescos,Lácteos,,inferida
7792170001187,QUAKER,Galletitas con Salvado Quaker 197 Gr,197.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170001194,QUAKER,Galletitas con Salvado Quaker Pack 3 Un 591 Gr,591.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170001200,QUAKER,Galletitas 7 Granos Quaker 197 Gr,197.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170001217,QUAKER,Galletitas Avena Miel Quaker 197 Gr,197.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001224,QUAKER,Galletitas Avena y Pasas Quaker 187 Gr,187.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001231,QUAKER,Galletitas Granola Quaker 187 Gr,187.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170001248,QUAKER,Galletitas Avena Manzana y Canela Quaker 187 Gr,187.0 gr,Frescos,Frutas,,inferida
7792170001293,TODDY,Galletitas con Chispas de Chocolate Blanco y Negro Toddy 210 Gr,210.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170001309,QUAKER,Cuadritos de Avena Relleno Chocolate y Pasas Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170001439,TODDY,Galletitas con Chips Blancos y Negros Black Toddy 210 Gr,210.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170002009,GATORADE,Bebida Isotonica Pomelo Gatorade 473 Ml,473.0 ml,Frescos,Frutas,,inferida
7792170002016,GATORADE,Bebida Isotonica Naranja Gatorade 473 Cc,473.0 cc,Frescos,Frutas,,inferida
7792170002054,GATORADE,Bebida Isotonica Manzana Gatorade 473 Cc,473.0 cc,Frescos,Frutas,,inferida
7792170002818,GATORADE,Energizante Naranja Gatorade 946 Ml,946.0 ml,Frescos,Frutas,,inferida
7792170002856,GATORADE,Energizante Manzana Gatorade 946 Ml,946.0 ml,Frescos,Frutas,,inferida
7792170007196,QUAKER,Polenta Instantanea Magica Quaker 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
7792170042005,GATORADE,Bebida Isotonica Manzana Gatorade 500 Ml,500.0 ml,Frescos,Frutas,,inferida
7792170042012,GATORADE,Bebida Isotonica Naranja Gatorade 500 Ml,500.0 ml,Frescos,Frutas,,inferida
7792170042036,GATORADE,Jugo Pomelo Gatorade 500 Cc,500.0 cc,Bebidas sin Alcohol,Jugos,,inferida
7792170042050,GATORADE,Bebida Isotonica Lima Limon Gatorade 500 Ml,500.0 ml,Frescos,Frutas,,inferida
7792170042081,GATORADE,Bebida Isotonica Uva Gatorade 500 Ml,500.0 ml,Frescos,Frutas,,inferida
7792170042241,GATORADE,Bebida Isotonica Uva Gatorade 500 Ml,500.0 ml,Frescos,Frutas,,inferida
7792170052080,QUAKER,Avena Honey Nut Oats Quaker 230 Gr,230.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170052271,GATORADE,Bebida Isotonica Manzana Gatorade 750 Cc,750.0 cc,Frescos,Frutas,,inferida
7792170052288,GATORADE,Bebida Isotonica Naranja Gatorade 750 Cc,750.0 cc,Frescos,Frutas,,inferida
7792170063215,QUAKER,Cuadritos de Avena Rellenos con Miel y Nuez Quaker 200 Gr,200.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170092963,QUAKER,Avena Extrafina Quaker 500 Gr,500.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170100231,QUAKER,Avena Tradicional Fortificada Quaker 500 Gr,500.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170100323,QUAKER,Avena Tradicional Quaker 800 Gr,800.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170100347,QUAKER,Avena Instantanea Fortificada Quaker 400 Gr,400.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170110063,QUAKER,Barra Cereales Frutilla Crema Quaker 30 Gr,225.0 gr,Frescos,Frutas,,inferida
7792170110131,QUAKER,Barra de Manzana Quaker 23 Gr,23.0 gr,Frescos,Frutas,,inferida
7792170110186,QUAKER,Barra de Cereal Chispa Chocolate Quaker 3 Un,3.0 un,Almacén,Snacks y Golosinas,,inferida
7792170110216,QUAKER,Barra de Cereal con Chips Chocolate Quaker 8 Un 20 Gr,8.0 un,Almacén,Snacks y Golosinas,,inferida
7792170110322,QUAKER,Avena Quadritos Quaker 180 Gr,180.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170110339,QUAKER,Cereal Granola Almendras y Miel Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170110346,QUAKER,Cereal Granola Avena Miel y Pasas Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170110353,QUAKER,Granola Avena Pasas y Almendras Quaker 300 Gr,300.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170110421,QUAKER,Barra de Cereal Naranja con Chocolate Quaker 3 Un,3.0 un,Frescos,Frutas,,inferida
7792170110452,QUAKER,Barra de Cereal Naranja con Chocolate Quaker 8 Un 25 Gr,8.0 un,Frescos,Frutas,,inferida
7792170110490,QUAKER,Barra de Cereal Menta con Chocolate Quaker 8 Un 22 Gr,8.0 un,Almacén,Snacks y Golosinas,,inferida
7792170110551,GATORADE,Bebida Isotonica Naranja Gatorade 1.25 Lt,1.25 lt,Frescos,Frutas,,inferida
7792170110575,GATORADE,Bebida Isotonica Manzana Gatorade 1.25 Lt,1.25 lt,Frescos,Frutas,,inferida
7792170555116,QUAKER,Galletas Avena y Granola Quaker 157 Gr,157.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170555123,QUAKER,Galletas Avena y Pasas Quaker 157 Gr,157.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170555130,QUAKER,Galletas Manzana y Canela Quaker 157 Gr,157.0 gr,Frescos,Frutas,,inferida
7792170555147,QUAKER,Galletitas Casera Chispas Quaker 157 Gr,157.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170555154,GATORADE,Gatorade Uva 300 Ml,300.0 ml,Frescos,Frutas,,inferida
7792170555277,QUAKER,Galletas Dulces Caseras Pasas Quaker 157 Gr,157.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170555291,QUAKER,Galletas Dulces Casera Chispas Quaker 157 Gr,157.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170555307,QUAKER,Galletas Dulces Casera Granola Quaker 157 Gr,157.0 gr,Almacén,Snacks y Golosinas,,inferida
7792180000057,CAÑUELAS,Aceite de Oliva Clasico Cañuelas 500 Ml,500.0 ml,Almacén,Aceites,,inferida
7792180000064,CAÑUELAS,Aceite de Oliva Extra Virgen Lata Cañuelas 500 Ml,500.0 ml,Almacén,Aceites,,inferida
7792180000279,PUREZA,Harina 0000 Ultra Refinada Pureza 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180000286,PUREZA,Harina Leudante Pureza 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180000293,CAÑUELAS,Aceite de Girasol Cañuelas 5 Lt,5.0 lt,Almacén,Aceites,,inferida
7792180000569,FLORE,Aceite de Girasol Flore 900 Cc,900.0 cc,Almacén,Aceites,,inferida
7792180000583,FLORE,Aceite de Girasol Flore 1.5 Lt,1.5 lt,Almacén,Aceites,,inferida
7792180000804,PUREZA,Premezcla Para Pizza Fortifi Pureza 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
7792180001528,CAÑUELAS,Harina de Trigo 000 Cañuelas 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180001634,CAÑUELAS,Aceite de Girasol Cañuelas 500 Cc,500.0 cc,Almacén,Aceites,,inferida
7792180001641,CAÑUELAS,Aceite de Girasol Cañuelas 900 Cc,900.0 cc,Almacén,Aceites,,inferida
7792180001665,CAÑUELAS,Aceite de Girasol Cañuelas 1.5 Lt,1.5 lt,Almacén,Aceites,,inferida
7792180001672,CAÑUELAS,Aceite de Girasol Botella Cañuelas 3 Lt,3.0 lt,Almacén,Aceites,,inferida
7792180002563,PUREZA,Harina Integral Pureza 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180002587,CAÑUELAS,Harina 0000 Cañuelas 10 Kg,10.0 kg,Almacén,Harinas y Pastas,,inferida
7792180002709,CUQUETS,Polvo Bizcochuelo Chocolate Cuquets 480 Gr,480.0 gr,Almacén,Panificados,,inferida
7792180002716,CUQUETS,Polvo Bizcochuelo Vainilla Cuquets 480 Gr,480.0 gr,Almacén,Panificados,,inferida
7792180002884,MAMA COCINA,Buñuelos Espinaca Mama Cocina 250 Gr,250.0 gr,Frescos,Verduras,,inferida
7792180002952,CAÑUELAS,Harina Tipo 0000 Cañuelas 25 Kg,25.0 kg,Almacén,Harinas y Pastas,,inferida
7792180003027,MAMÁ COCINA,Pan Rallado Mama Cocina 8 Un 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180003256,MAMA COCINA,Premezcla Buñuelo Panqueque Vainilla Mama Cocina 300 Gr,300.0 gr,Almacén,Harinas y Pastas,,inferida
7792180003263,MAMA COCINA,Premezcla Para Bun?Uelo Panqueque Mama Cocina 300 Gr,300.0 gr,Almacén,Harinas y Pastas,,inferida
7792180003300,SAN AGUSTIN ,Pan Rallado San Agustin 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
7792180003331,MAMA COCINA,Pan Rallado Mama Cocina 5 Kg,5.0 kg,Almacén,Harinas y Pastas,,inferida
7792180003430,PUREZA,Harina de Trigo con Levadura Pureza 1 Kg,1.0 kg,Almacén,Harinas y Pastas,,inferida
7792180003584,MAMA,Buñuelos y Panqueques Sabor Banana Mama Cocina 300 Gr,300.0 gr,Frescos,Frutas,,inferida
7792180003775,MAMÁ COCINA,Premezcla Buñelos Espinacaca Mama Cocina 12 Un 300 Gr,300.0 gr,Almacén,Harinas y Pastas,,inferida
7792180004130,PASEO,Grisines Tipo Italiano Clasicos Paseo 180 Gr,180.0 gr,Almacén,Panificados,,inferida
